SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,RIDEXPRG,SIALANG
63308,1,28,4,,1
63309,1,0,5,,1
63310,2,53,4,,1
63311,1,62,4,,1
63312,1,74,3,,1
63313,1,56,4,,1
63314,2,0,4,,1
63315,2,54,5,,1
63316,1,10,4,,1
63317,1,32,5,,1
63318,1,27,4,,1
63319,2,51,5,,1
63320,2,27,5,2,1
63321,1,6,3,,1
63322,2,6,4,,1
63323,2,48,5,,1
63324,1,35,5,,1
63325,2,2,1,,1
63326,2,51,4,,1
63327,1,14,3,,1
63328,2,61,4,,1
63329,2,71,3,,1
63330,1,51,3,,1
63331,2,31,3,2,1
63332,2,15,1,,2
63333,1,66,4,,1
63334,1,9,1,,1
63335,1,10,4,,1
63336,2,9,5,,1
63337,1,75,4,,1
63338,1,31,4,,1
63339,2,41,5,2,1
63340,1,26,3,,1
63341,1,48,5,,1
63342,1,10,5,,1
63343,2,45,3,,1
63344,2,26,1,2,2
63345,2,68,4,,1
63346,1,36,1,,2
63347,2,15,1,,2
63348,2,10,3,,1
63349,2,48,5,,1
63350,1,16,3,,1
63351,2,30,4,2,1
63352,1,64,3,,1
63353,2,23,3,2,1
63354,2,1,4,,1
63355,2,9,1,,1
63356,2,70,1,,1
63357,2,31,1,2,2
63358,1,6,3,,1
63359,1,1,3,,1
63360,2,80,3,,1
63361,1,67,4,,1
63362,2,80,3,,1
63363,2,65,5,,1
63364,2,73,4,,1
63365,2,50,2,,2
63366,2,11,4,,1
63367,1,10,4,,1
63368,2,6,1,,2
63369,2,10,4,,1
63370,2,6,2,,1
63371,1,13,4,,1
63372,2,2,1,,2
63373,2,29,5,2,1
63374,1,57,4,,1
63375,2,17,3,,1
63376,1,10,1,,1
63377,2,39,4,2,1
63378,2,18,1,,1
63379,1,10,4,,1
63380,1,47,3,,1
63381,1,3,4,,1
63382,1,39,1,,2
63383,1,51,4,,1
63384,2,13,5,,1
63385,2,62,4,,1
63386,1,7,2,,1
63387,1,20,4,,1
63388,2,44,4,2,1
63389,1,80,3,,1
63390,1,53,3,,1
63391,1,70,2,,2
63392,2,22,3,2,1
63393,2,19,1,,1
63394,1,16,5,,1
63395,2,80,3,,1
63396,1,80,3,,1
63397,2,51,5,,1
63398,2,78,5,,1
63399,2,5,1,,1
63400,2,21,4,2,1
63401,2,49,3,,1
63402,2,27,5,2,1
63403,1,8,4,,1
63404,2,48,3,,1
63405,2,74,4,,1
63406,1,12,4,,1
63407,2,16,4,,1
63408,1,8,4,,1
63409,2,69,4,,1
63410,1,22,4,,1
63411,1,19,4,,1
63412,2,40,2,2,2
63413,2,61,3,,1
63414,2,27,3,2,1
63415,1,18,4,,1
63416,2,7,4,,1
63417,2,6,3,,1
63418,2,40,3,2,1
63419,1,2,3,,1
63420,1,62,3,,1
63421,1,13,5,,1
63422,2,64,1,,1
63423,2,2,5,,1
63424,1,17,1,,1
63425,1,51,5,,1
63426,1,58,3,,1
63427,2,9,4,,1
63428,2,13,1,,1
63429,1,21,4,,1
63430,2,4,3,,1
63431,1,34,5,,1
63432,1,7,3,,1
63433,1,4,5,,1
63434,2,23,5,2,1
63435,1,14,3,,1
63436,2,80,3,,1
63437,2,23,3,2,1
63438,1,64,4,,1
63439,1,51,2,,1
63440,1,70,3,,1
63441,1,3,2,,1
63442,2,51,4,,1
63443,2,8,3,,1
63444,2,0,3,,1
63445,2,21,1,2,1
63446,1,16,4,,1
63447,2,9,4,,1
63448,1,80,3,,1
63449,1,38,2,,2
63450,1,6,2,,1
63451,1,28,4,,1
63452,1,11,4,,1
63453,1,48,1,,2
63454,1,13,5,,1
63455,1,30,4,,1
63456,1,80,1,,1
63457,1,28,4,,1
63458,2,0,2,,1
63459,2,80,2,,2
63460,1,2,3,,1
63461,2,21,1,2,1
63462,2,18,4,,1
63463,2,61,3,,1
63464,1,7,1,,1
63465,1,55,4,,1
63466,1,49,4,,1
63467,2,10,4,,1
63468,1,55,4,,1
63469,2,14,2,,2
63470,1,2,4,,1
63471,2,65,3,,1
63472,2,24,3,2,1
63473,1,80,3,,1
63474,1,74,3,,1
63475,1,41,3,,1
63476,2,15,1,,1
63477,2,4,4,,1
63478,1,62,3,,1
63479,2,19,4,,1
63480,2,9,1,,2
63481,2,48,2,,2
63482,2,43,4,2,1
63483,1,2,1,,1
63484,1,69,3,,1
63485,1,42,4,,1
63486,2,11,2,,1
63487,1,17,4,,1
63488,2,6,4,,1
63489,1,32,3,,1
63490,2,11,3,,1
63491,1,56,3,,1
63492,1,69,4,,1
63493,2,65,5,,1
63494,2,0,4,,1
63495,2,14,5,,1
63496,1,58,3,,1
63497,2,1,2,,1
63498,2,70,4,,1
63499,2,33,2,2,2
63500,1,53,4,,1
63501,2,4,1,,1
63502,1,73,3,,1
63503,2,3,3,,1
63504,1,54,1,,1
63505,2,0,3,,1
63506,2,60,2,,2
63507,2,61,4,,1
63508,2,34,3,2,1
63509,1,20,3,,1
63510,2,56,3,,1
63511,1,1,3,,1
63512,1,64,2,,2
63513,1,17,4,,1
63514,2,80,4,,1
63515,2,54,3,,1
63516,2,54,2,,2
63517,1,10,5,,1
63518,2,3,1,,1
63519,1,54,4,,1
63520,2,0,3,,1
63521,2,15,5,,1
63522,1,6,4,,1
63523,2,22,5,2,1
63524,2,70,3,,1
63525,2,52,5,,1
63526,2,9,3,,1
63527,2,11,1,,2
63528,2,34,4,2,1
63529,1,23,3,,1
63530,2,80,3,,1
63531,1,32,1,,2
63532,1,54,4,,1
63533,2,32,1,3,1
63534,1,39,2,,2
63535,2,3,2,,1
63536,1,0,3,,1
63537,1,1,5,,1
63538,2,62,4,,1
63539,1,14,1,,2
63540,2,57,3,,1
63541,1,70,2,,2
63542,2,2,3,,1
63543,2,74,5,,1
63544,1,63,2,,2
63545,2,56,4,,1
63546,2,80,3,,1
63547,1,0,4,,1
63548,2,0,3,,1
63549,2,5,4,,1
63550,2,51,4,,1
63551,2,54,3,,1
63552,1,50,2,,1
63553,1,76,4,,1
63554,1,61,4,,1
63555,1,6,2,,1
63556,1,64,5,,1
63557,1,3,5,,1
63558,2,18,3,,1
63559,1,41,5,,1
63560,1,40,3,,1
63561,2,65,2,,2
63562,1,22,3,,1
63563,1,16,4,,1
63564,2,80,3,,1
63565,2,4,1,,1
63566,2,62,4,,1
63567,2,9,5,,1
63568,1,19,4,,1
63569,2,49,2,,2
63570,1,71,3,,1
63571,1,36,5,,1
63572,2,28,3,2,1
63573,2,20,4,2,1
63574,1,6,5,,1
63575,1,19,5,,1
63576,1,46,2,,1
63577,2,5,1,,1
63578,2,41,4,2,1
63579,1,63,3,,1
63580,1,9,3,,1
63581,2,14,5,,1
63582,2,57,3,,1
63583,1,80,3,,1
63584,2,30,4,2,1
63585,2,8,4,,1
63586,1,4,4,,1
63587,1,36,3,,1
63588,2,80,3,,1
63589,1,80,5,,1
63590,1,21,4,,1
63591,2,19,5,,1
63592,2,2,4,,1
63593,1,77,3,,1
63594,1,2,4,,1
63595,2,27,5,2,1
63596,1,74,1,,1
63597,1,22,5,,1
63598,2,18,2,,1
63599,2,76,2,,2
63600,2,10,3,,1
63601,1,5,3,,1
63602,1,34,4,,1
63603,1,11,1,,2
63604,2,2,1,,1
63605,1,7,4,,1
63606,1,6,3,,1
63607,1,41,1,,1
63608,2,71,2,,2
63609,1,66,5,,1
63610,1,16,4,,1
63611,1,80,3,,1
63612,1,5,5,,1
63613,1,30,2,,1
63614,2,58,3,,1
63615,2,26,3,2,1
63616,1,9,5,,1
63617,1,29,3,,1
63618,2,2,5,,1
63619,1,1,3,,1
63620,1,61,4,,1
63621,2,61,3,,1
63622,1,18,3,,1
63623,1,80,3,,1
63624,2,7,1,,2
63625,2,23,1,2,1
63626,2,39,3,2,1
63627,2,80,3,,1
63628,1,61,3,,1
63629,2,36,5,2,1
63630,2,11,3,,1
63631,2,32,3,2,1
63632,2,80,3,,1
63633,1,48,4,,1
63634,1,4,4,,1
63635,1,79,3,,1
63636,1,17,4,,1
63637,1,7,3,,1
63638,2,47,3,,1
63639,1,55,4,,1
63640,1,0,3,,1
63641,1,12,3,,1
63642,1,25,4,,1
63643,2,18,3,,1
63644,2,2,4,,1
63645,1,15,5,,1
63646,1,9,1,,2
63647,2,2,4,,1
63648,2,31,3,2,1
63649,1,1,3,,1
63650,2,62,1,,2
63651,2,76,5,,1
63652,1,28,4,,1
63653,2,19,2,,2
63654,1,11,2,,1
63655,2,17,3,,1
63656,2,16,4,,1
63657,1,30,5,,1
63658,1,10,3,,1
63659,1,80,3,,1
63660,1,11,3,,1
63661,2,46,3,,1
63662,1,80,3,,1
63663,2,42,1,2,2
63664,1,58,5,,1
63665,1,56,2,,2
63666,2,79,3,,1
63667,2,2,3,,1
63668,1,4,1,,1
63669,1,31,3,,1
63670,2,8,4,,1
63671,2,14,5,,1
63672,1,9,2,,2
63673,1,43,3,,1
63674,1,5,5,,1
63675,1,12,3,,1
63676,1,2,4,,1
63677,2,2,1,,1
63678,2,22,2,2,1
63679,1,0,3,,1
63680,1,54,1,,2
63681,2,5,3,,1
63682,1,14,3,,1
63683,1,53,3,,1
63684,2,54,4,,1
63685,2,60,2,,2
63686,2,60,2,,1
63687,1,69,4,,1
63688,1,2,5,,1
63689,2,66,3,,1
63690,1,29,5,,1
63691,1,21,1,,1
63692,2,22,4,2,1
63693,2,11,1,,2
63694,1,6,3,,1
63695,1,56,4,,1
63696,1,15,1,,2
63697,1,41,4,,1
63698,1,42,2,,2
63699,2,47,4,,1
63700,1,40,4,,1
63701,1,55,3,,1
63702,2,11,3,,1
63703,2,2,4,,1
63704,2,75,4,,1
63705,1,8,2,,2
63706,1,13,3,,1
63707,2,63,2,,1
63708,1,63,5,,1
63709,2,16,4,,1
63710,1,37,3,,1
63711,2,7,2,,1
63712,1,2,3,,1
63713,1,52,3,,1
63714,1,48,3,,1
63715,2,8,4,,1
63716,1,2,2,,2
63717,2,50,3,,1
63718,2,50,2,,1
63719,1,21,3,,1
63720,1,5,1,,1
63721,2,22,3,2,1
63722,1,35,4,,1
63723,2,62,1,,1
63724,1,33,1,,2
63725,1,5,3,,1
63726,2,12,2,,1
63727,2,4,5,,1
63728,2,11,1,,1
63729,1,50,3,,1
63730,1,14,3,,1
63731,1,51,2,,2
63732,1,60,2,,1
63733,2,58,2,,1
63734,1,43,5,,1
63735,1,29,5,,1
63736,1,36,4,,1
63737,1,8,4,,1
63738,1,46,4,,1
63739,2,71,4,,1
63740,1,8,3,,1
63741,1,72,1,,1
63742,2,20,3,3,1
63743,2,9,1,,1
63744,2,50,3,,1
63745,1,0,1,,1
63746,1,49,4,,1
63747,1,4,5,,1
63748,2,11,2,,1
63749,2,43,5,2,1
63750,2,20,4,2,1
63751,2,5,1,,1
63752,1,60,3,,1
63753,1,33,1,,2
63754,2,46,3,,1
63755,1,2,3,,1
63756,2,2,4,,1
63757,2,5,2,,2
63758,1,28,5,,1
63759,1,56,3,,1
63760,1,16,4,,1
63761,2,21,2,2,1
63762,1,23,3,,1
63763,2,17,5,,1
63764,2,14,1,,1
63765,1,80,3,,1
63766,2,54,3,,1
63767,1,66,1,,2
63768,1,64,2,,2
63769,1,44,2,,1
63770,2,11,4,,1
63771,1,43,3,,1
63772,1,65,3,,1
63773,1,56,2,,1
63774,1,8,3,,1
63775,2,1,5,,1
63776,1,7,1,,2
63777,2,41,3,2,1
63778,2,14,4,,1
63779,1,4,4,,1
63780,2,44,3,2,1
63781,2,63,2,,1
63782,2,1,5,,1
63783,2,10,4,,1
63784,2,40,1,2,2
63785,2,32,3,3,1
63786,1,8,5,,1
63787,1,30,3,,1
63788,2,40,3,2,1
63789,1,29,3,,1
63790,1,11,4,,1
63791,2,0,1,,1
63792,2,2,5,,1
63793,2,27,3,2,1
63794,1,4,3,,1
63795,1,59,3,,1
63796,2,36,5,2,1
63797,1,14,3,,1
63798,2,2,3,,1
63799,1,69,5,,1
63800,2,3,5,,1
63801,2,64,4,,1
63802,2,48,4,,1
63803,2,36,1,2,2
63804,1,61,4,,1
63805,2,53,3,,1
63806,1,70,3,,1
63807,2,61,4,,1
63808,2,13,3,,1
63809,2,10,3,,1
63810,1,16,5,,1
63811,2,4,4,,1
63812,2,47,4,,1
63813,1,67,4,,1
63814,1,17,3,,1
63815,1,8,4,,1
63816,1,5,4,,1
63817,2,47,4,,1
63818,2,40,3,2,1
63819,2,0,1,,1
63820,2,58,4,,1
63821,1,4,4,,1
63822,1,13,4,,1
63823,1,21,3,,1
63824,1,34,5,,1
63825,1,31,5,,1
63826,1,9,3,,1
63827,2,52,3,,1
63828,2,64,3,,1
63829,2,42,3,2,1
63830,2,64,2,,2
63831,2,23,4,2,1
63832,1,46,3,,1
63833,1,9,2,,1
63834,2,52,4,,1
63835,2,76,4,,1
63836,1,16,4,,1
63837,2,70,3,,1
63838,2,78,3,,1
63839,1,75,4,,1
63840,1,10,3,,1
63841,1,27,1,,1
63842,1,0,5,,1
63843,2,13,2,,2
63844,1,80,3,,1
63845,1,43,3,,1
63846,1,3,3,,1
63847,1,58,3,,1
63848,1,31,4,,1
63849,1,34,3,,1
63850,2,49,3,,1
63851,1,9,4,,1
63852,1,50,3,,1
63853,2,36,3,2,1
63854,2,5,1,,2
63855,1,8,2,,1
63856,2,20,4,2,1
63857,1,4,4,,1
63858,2,20,2,1,2
63859,1,55,4,,1
63860,2,50,5,,1
63861,1,63,3,,1
63862,1,80,3,,1
63863,1,6,4,,1
63864,1,3,1,,2
63865,1,2,2,,1
63866,2,0,2,,1
63867,2,35,3,2,1
63868,1,69,3,,1
63869,1,36,3,,1
63870,2,11,4,,1
63871,2,45,4,,1
63872,2,18,5,,1
63873,1,80,4,,1
63874,1,3,1,,2
63875,2,64,4,,1
63876,2,9,4,,1
63877,2,20,4,2,1
63878,1,8,3,,1
63879,1,76,3,,1
63880,2,77,3,,1
63881,2,25,3,2,1
63882,1,43,5,,1
63883,2,80,2,,2
63884,1,51,5,,1
63885,1,19,4,,1
63886,2,7,5,,1
63887,2,64,3,,1
63888,1,25,4,,1
63889,1,48,3,,1
63890,2,60,2,,2
63891,2,55,4,,1
63892,2,10,3,,1
63893,1,6,2,,2
63894,2,19,4,,1
63895,1,37,4,,1
63896,2,9,5,,1
63897,2,7,2,,1
63898,2,51,1,,1
63899,2,75,2,,2
63900,2,36,5,1,1
63901,1,12,2,,2
63902,1,68,3,,1
63903,1,19,4,,1
63904,2,42,3,3,1
63905,1,23,5,,1
63906,1,8,4,,1
63907,1,60,4,,1
63908,1,55,1,,2
63909,2,62,3,,1
63910,2,41,3,3,1
63911,2,67,4,,1
63912,1,28,5,,1
63913,1,18,2,,1
63914,2,7,1,,1
63915,2,40,3,2,1
63916,1,34,3,,1
63917,1,71,2,,1
63918,1,49,3,,1
63919,1,2,1,,1
63920,2,29,3,1,1
63921,1,3,4,,1
63922,2,38,5,2,1
63923,2,52,4,,1
63924,2,29,4,2,1
63925,2,32,3,3,1
63926,1,34,4,,1
63927,1,37,1,,2
63928,2,42,4,2,1
63929,2,34,2,1,1
63930,1,4,5,,1
63931,2,32,5,3,1
63932,1,1,1,,1
63933,2,6,3,,1
63934,1,18,2,,1
63935,1,17,3,,1
63936,1,35,3,,1
63937,2,15,4,,1
63938,2,12,4,,1
63939,1,66,4,,1
63940,1,15,2,,2
63941,2,53,5,,1
63942,2,42,3,2,1
63943,2,29,3,2,1
63944,1,20,3,,1
63945,2,29,3,2,1
63946,1,39,3,,1
63947,1,1,4,,1
63948,2,50,4,,1
63949,2,50,2,,1
63950,2,28,4,2,1
63951,1,14,4,,1
63952,2,10,3,,1
63953,2,31,1,1,1
63954,1,41,5,,1
63955,2,65,3,,1
63956,2,33,3,2,1
63957,2,59,1,,1
63958,2,60,2,,2
63959,1,41,3,,1
63960,1,21,4,,1
63961,2,0,1,,1
63962,2,80,3,,1
63963,1,72,3,,1
63964,1,62,3,,1
63965,1,72,3,,1
63966,2,34,4,2,1
63967,2,24,5,2,1
63968,2,61,2,,2
63969,1,8,4,,1
63970,2,9,5,,1
63971,2,36,5,2,1
63972,1,15,3,,1
63973,2,15,5,,1
63974,1,53,3,,1
63975,2,6,4,,1
63976,1,1,4,,1
63977,2,22,4,2,1
63978,1,12,2,,2
63979,1,8,3,,1
63980,2,6,4,,1
63981,2,6,3,,1
63982,2,69,3,,1
63983,1,31,3,,1
63984,1,24,5,,1
63985,1,5,2,,2
63986,1,75,1,,2
63987,1,0,4,,1
63988,1,4,1,,2
63989,2,53,5,,1
63990,1,17,5,,1
63991,2,44,4,2,1
63992,1,44,3,,1
63993,1,8,1,,1
63994,2,9,4,,1
63995,1,56,4,,1
63996,1,35,4,,1
63997,2,79,3,,1
63998,2,48,4,,1
63999,2,44,5,2,1
64000,1,31,4,,1
64001,1,7,4,,1
64002,1,80,3,,1
64003,2,47,3,,1
64004,2,0,1,,2
64005,2,12,1,,1
64006,2,9,5,,1
64007,1,0,1,,1
64008,1,4,4,,1
64009,1,32,5,,1
64010,1,3,4,,1
64011,2,80,3,,1
64012,2,16,3,,1
64013,1,80,5,,1
64014,2,20,4,2,1
64015,1,32,1,,1
64016,2,0,2,,1
64017,2,24,3,2,1
64018,1,35,4,,1
64019,2,10,2,,2
64020,2,17,5,,1
64021,2,62,1,,1
64022,2,27,4,2,1
64023,1,80,1,,1
64024,2,62,3,,1
64025,1,31,3,,1
64026,2,29,4,2,1
64027,2,5,3,,1
64028,1,11,2,,2
64029,1,22,1,,1
64030,1,6,2,,2
64031,2,19,1,,2
64032,1,46,1,,1
64033,2,64,5,,1
64034,2,62,1,,2
64035,1,8,2,,2
64036,1,69,3,,1
64037,1,28,5,,1
64038,1,4,4,,1
64039,2,0,4,,1
64040,1,31,5,,1
64041,1,9,4,,1
64042,1,39,3,,1
64043,1,14,4,,1
64044,2,8,1,,2
64045,2,4,3,,1
64046,2,39,4,2,1
64047,2,34,3,2,1
64048,2,54,3,,1
64049,2,16,1,,1
64050,2,41,3,2,1
64051,1,21,2,,1
64052,1,60,1,,2
64053,1,8,1,,1
64054,2,19,4,,1
64055,2,59,4,,1
64056,1,18,3,,1
64057,2,11,3,,1
64058,2,50,4,,1
64059,2,68,4,,1
64060,2,2,3,,1
64061,2,47,3,,1
64062,2,10,4,,1
64063,2,62,3,,1
64064,2,46,5,,1
64065,1,46,3,,1
64066,2,11,2,,2
64067,1,2,2,,1
64068,1,10,1,,2
64069,2,39,3,2,1
64070,2,7,3,,1
64071,1,67,4,,1
64072,2,50,1,,2
64073,1,13,4,,1
64074,1,50,4,,1
64075,1,22,3,,1
64076,2,1,3,,1
64077,1,45,4,,1
64078,1,17,4,,1
64079,2,25,2,2,1
64080,1,0,2,,1
64081,1,11,4,,1
64082,1,64,3,,1
64083,2,76,3,,1
64084,1,80,3,,1
64085,2,13,5,,1
64086,2,45,5,,1
64087,1,18,1,,1
64088,2,9,3,,1
64089,2,54,5,,1
64090,1,18,4,,1
64091,1,53,5,,1
64092,1,18,3,,1
64093,2,8,5,,1
64094,1,0,4,,1
64095,1,37,3,,1
64096,1,10,5,,1
64097,2,6,4,,1
64098,1,54,4,,1
64099,2,71,3,,1
64100,1,5,3,,1
64101,2,0,4,,1
64102,2,63,4,,1
64103,2,12,5,,1
64104,2,4,4,,1
64105,2,8,1,,1
64106,1,34,3,,1
64107,2,80,3,,1
64108,2,2,3,,1
64109,2,45,3,,1
64110,2,6,4,,1
64111,2,33,4,2,1
64112,1,14,2,,1
64113,2,80,3,,1
64114,1,9,5,,1
64115,1,8,4,,1
64116,1,23,3,,1
64117,2,16,3,,1
64118,2,0,1,,1
64119,2,6,3,,1
64120,1,77,2,,2
64121,2,34,2,2,1
64122,2,67,1,,2
64123,2,1,1,,1
64124,1,6,4,,1
64125,1,4,3,,1
64126,2,7,1,,2
64127,2,69,5,,1
64128,1,59,3,,1
64129,2,7,4,,1
64130,1,69,5,,1
64131,2,79,3,,1
64132,2,41,5,2,1
64133,2,36,3,2,1
64134,2,49,4,,1
64135,2,23,5,2,1
64136,1,9,1,,1
64137,2,72,5,,1
64138,1,36,5,,1
64139,2,32,2,2,2
64140,2,16,4,,1
64141,1,80,3,,1
64142,1,73,3,,1
64143,1,58,1,,2
64144,2,2,5,,1
64145,1,2,1,,1
64146,2,47,5,,1
64147,2,34,1,2,2
64148,1,2,4,,1
64149,1,29,3,,1
64150,1,8,4,,1
64151,1,21,3,,1
64152,1,14,4,,1
64153,2,11,4,,1
64154,2,59,4,,1
64155,1,11,4,,1
64156,2,8,5,,1
64157,2,68,3,,1
64158,1,27,4,,1
64159,1,75,1,,2
64160,1,13,5,,1
64161,2,51,4,,1
64162,1,18,3,,1
64163,1,48,5,,1
64164,1,47,4,,1
64165,2,6,1,,2
64166,1,7,2,,2
64167,2,21,5,2,1
64168,1,31,3,,1
64169,1,17,3,,1
64170,2,22,4,2,1
64171,1,11,3,,1
64172,1,80,3,,1
64173,2,38,5,2,1
64174,2,18,2,,1
64175,2,80,3,,1
64176,1,72,4,,1
64177,1,2,3,,1
64178,1,7,5,,1
64179,1,52,1,,2
64180,2,31,2,2,2
64181,2,56,1,,1
64182,2,67,3,,1
64183,2,18,1,,1
64184,1,67,3,,1
64185,2,14,5,,1
64186,1,63,2,,2
64187,1,6,3,,1
64188,1,65,3,,1
64189,1,2,5,,1
64190,1,0,1,,1
64191,1,72,2,,2
64192,1,42,3,,1
64193,1,37,4,,1
64194,2,63,4,,1
64195,1,33,4,,1
64196,2,9,5,,1
64197,2,80,4,,1
64198,2,76,4,,1
64199,2,2,2,,1
64200,2,3,2,,1
64201,1,20,5,,1
64202,1,10,4,,1
64203,1,35,3,,1
64204,2,0,3,,1
64205,2,1,4,,1
64206,2,69,4,,1
64207,2,28,2,2,1
64208,1,15,1,,2
64209,1,11,2,,2
64210,1,3,4,,1
64211,2,1,1,,2
64212,2,8,5,,1
64213,1,37,1,,2
64214,1,18,1,,1
64215,2,80,4,,1
64216,2,2,1,,1
64217,1,53,1,,2
64218,1,53,4,,1
64219,2,80,4,,1
64220,2,24,3,2,1
64221,1,19,1,,1
64222,1,39,3,,1
64223,2,0,3,,1
64224,2,22,4,2,1
64225,1,8,3,,1
64226,1,73,3,,1
64227,2,59,2,,2
64228,1,44,3,,1
64229,2,50,3,,1
64230,2,2,4,,1
64231,1,68,2,,1
64232,1,0,3,,1
64233,1,14,4,,1
64234,1,29,1,,1
64235,2,56,1,,1
64236,1,5,1,,2
64237,2,16,3,,1
64238,1,0,5,,1
64239,1,2,4,,1
64240,1,19,1,,1
64241,2,0,3,,1
64242,2,16,3,,1
64243,2,7,3,,1
64244,2,40,3,2,1
64245,1,51,3,,1
64246,1,14,2,,2
64247,1,42,1,,2
64248,2,38,3,2,1
64249,1,11,3,,1
64250,2,3,1,,2
64251,1,4,5,,1
64252,1,61,2,,2
64253,1,13,5,,1
64254,1,0,1,,2
64255,1,23,5,,1
64256,2,67,4,,1
64257,2,23,3,2,1
64258,2,13,5,,1
64259,2,35,1,2,2
64260,2,17,4,,1
64261,1,67,5,,1
64262,2,6,4,,1
64263,2,62,1,,1
64264,1,14,4,,1
64265,1,48,4,,1
64266,1,31,3,,1
64267,2,10,4,,1
64268,2,11,4,,1
64269,1,61,1,,1
64270,2,47,5,,1
64271,2,24,3,2,1
64272,2,19,4,,1
64273,1,5,4,,1
64274,1,0,1,,2
64275,1,62,5,,1
64276,1,50,1,,1
64277,2,48,1,,2
64278,2,18,2,,1
64279,1,11,3,,1
64280,1,3,4,,1
64281,1,44,2,,1
64282,1,2,4,,1
64283,1,5,4,,1
64284,2,80,3,,1
64285,1,7,1,,1
64286,2,56,5,,1
64287,1,7,3,,1
64288,2,41,1,2,1
64289,2,0,3,,1
64290,2,65,4,,1
64291,1,50,2,,1
64292,1,45,4,,1
64293,2,4,3,,1
64294,1,19,2,,1
64295,1,10,3,,1
64296,2,40,1,2,1
64297,2,9,1,,2
64298,2,68,4,,1
64299,1,65,3,,1
64300,2,6,4,,1
64301,2,73,5,,1
64302,1,45,3,,1
64303,2,77,3,,1
64304,2,0,1,,1
64305,2,41,4,2,1
64306,2,2,4,,1
64307,2,24,3,2,1
64308,2,31,2,2,2
64309,2,78,3,,1
64310,2,49,3,,1
64311,1,54,4,,1
64312,1,80,3,,1
64313,1,65,1,,2
64314,1,6,1,,2
64315,2,52,3,,1
64316,2,12,4,,1
64317,2,18,3,,1
64318,2,14,4,,1
64319,2,14,5,,1
64320,1,14,4,,1
64321,1,12,3,,1
64322,1,8,3,,1
64323,1,3,1,,1
64324,2,28,1,2,2
64325,1,44,3,,1
64326,1,29,3,,1
64327,1,9,3,,1
64328,1,78,1,,2
64329,1,80,3,,1
64330,1,43,5,,1
64331,1,16,3,,1
64332,1,20,4,,1
64333,1,46,5,,1
64334,1,6,2,,2
64335,2,27,3,2,1
64336,1,31,3,,1
64337,1,21,3,,1
64338,2,46,1,,2
64339,1,6,2,,2
64340,1,80,3,,1
64341,2,51,2,,2
64342,1,12,3,,1
64343,1,63,3,,1
64344,1,37,4,,1
64345,1,21,5,,1
64346,1,3,5,,1
64347,1,50,3,,1
64348,2,13,3,,1
64349,2,24,5,2,1
64350,1,12,4,,1
64351,1,32,3,,1
64352,2,2,4,,1
64353,1,0,2,,1
64354,2,80,2,,2
64355,2,27,2,3,1
64356,1,20,1,,1
64357,2,1,2,,1
64358,1,5,4,,1
64359,1,24,4,,1
64360,2,54,1,,2
64361,2,16,5,,1
64362,1,68,4,,1
64363,1,22,5,,1
64364,2,80,3,,1
64365,2,5,2,,2
64366,1,4,4,,1
64367,2,39,5,2,1
64368,1,70,4,,1
64369,1,51,4,,1
64370,1,25,3,,1
64371,2,51,4,,1
64372,2,19,4,,1
64373,2,6,3,,1
64374,2,52,5,,1
64375,2,14,2,,2
64376,1,58,3,,1
64377,2,54,4,,1
64378,1,27,3,,1
64379,2,20,4,2,1
64380,2,22,3,2,1
64381,2,61,3,,1
64382,1,24,5,,1
64383,2,26,4,2,1
64384,1,0,3,,1
64385,2,13,5,,1
64386,2,9,1,,2
64387,1,71,5,,1
64388,1,69,4,,1
64389,1,10,1,,2
64390,2,45,4,,1
64391,2,26,2,2,1
64392,1,10,3,,1
64393,2,16,4,,1
64394,2,2,1,,2
64395,1,6,3,,1
64396,2,51,3,,1
64397,2,54,5,,1
64398,1,4,4,,1
64399,2,45,3,,1
64400,2,61,1,,2
64401,1,29,4,,1
64402,1,48,1,,2
64403,1,40,3,,1
64404,1,33,3,,1
64405,1,78,5,,1
64406,1,18,5,,1
64407,1,54,4,,1
64408,2,15,4,,1
64409,1,7,4,,1
64410,2,13,2,,1
64411,1,37,5,,1
64412,2,54,3,,1
64413,2,48,2,,2
64414,2,1,3,,1
64415,2,55,5,,1
64416,1,6,5,,1
64417,2,20,3,2,1
64418,2,17,3,,1
64419,2,63,1,,2
64420,2,54,4,,1
64421,2,2,4,,1
64422,1,16,2,,1
64423,2,12,4,,1
64424,1,0,3,,1
64425,2,7,5,,1
64426,2,0,4,,1
64427,1,37,3,,1
64428,1,7,5,,1
64429,1,4,5,,1
64430,1,65,5,,1
64431,2,32,4,2,1
64432,2,12,4,,1
64433,1,80,3,,1
64434,2,7,3,,1
64435,1,16,5,,1
64436,2,34,2,2,1
64437,2,21,4,2,1
64438,2,44,4,2,1
64439,1,53,3,,1
64440,1,40,5,,1
64441,1,0,4,,1
64442,1,61,1,,1
64443,2,2,4,,1
64444,1,18,3,,1
64445,2,3,4,,1
64446,1,47,3,,1
64447,2,41,3,2,1
64448,1,0,3,,1
64449,2,18,5,,1
64450,1,80,3,,1
64451,1,32,3,,1
64452,1,0,2,,1
64453,2,5,4,,1
64454,2,4,5,,1
64455,1,6,4,,1
64456,2,31,2,2,1
64457,2,14,2,,1
64458,1,4,2,,1
